state,fiscal_year,value,agency,bureau,program
New York,2016,378730,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
North Carolina,2016,51236,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
North Dakota,2016,2405,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Ohio,2016,76667,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Oklahoma,2016,15936,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Oregon,2016,8874,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Pennsylvania,2016,119163,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Rhode Island,2016,15930,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
South Carolina,2016,21804,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
South Dakota,2016,1781,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Tennessee,2016,51813,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Texas,2016,80021,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Utah,2016,2884,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Vermont,2016,1860,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Virginia,2016,35204,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Washington,2016,25002,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
West Virginia,2016,8379,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Wisconsin,2016,17279,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Wyoming,2016,2179,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Alabama,2017,60124,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Alaska,2017,2790,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Arizona,2017,35361,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Arkansas,2017,17995,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
California,2017,77116,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Colorado,2017,11846,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Connecticut,2017,25699,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Delaware,2017,4831,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
District of Columbia,2017,17133,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Florida,2017,54384,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Georgia,2017,62831,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Hawaii,2017,9621,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Idaho,2017,1681,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Illinois,2017,122196,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Indiana,2017,27730,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Iowa,2017,5394,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Kansas,2017,11166,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Kentucky,2017,35281,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Louisiana,2017,39962,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Maine,2017,6814,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Maryland,2017,27710,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Massachusetts,2017,56933,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Michigan,2017,38264,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Minnesota,2017,31848,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Mississippi,2017,16580,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Missouri,2017,28306,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Montana,2017,3155,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Nebraska,2017,9760,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Nevada,2017,4968,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
New Hampshire,2017,5097,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
New Jersey,2017,64586,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
New Mexico,2017,6035,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
New York,2017,349379,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
North Carolina,2017,50514,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
North Dakota,2017,2462,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Ohio,2017,79472,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Oklahoma,2017,16450,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Oregon,2017,10394,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Pennsylvania,2017,124258,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Rhode Island,2017,14275,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
South Carolina,2017,22426,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
South Dakota,2017,1801,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Tennessee,2017,51736,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Texas,2017,77252,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Utah,2017,2672,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Vermont,2017,2134,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Virginia,2017,35550,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Washington,2017,27097,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
West Virginia,2017,9116,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Wisconsin,2017,18684,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Wyoming,2017,929,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Alabama,2018,15760,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Alaska,2018,567,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Arizona,2018,6497,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Arkansas,2018,5590,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
California,2018,20935,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Colorado,2018,4523,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Connecticut,2018,8067,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Delaware,2018,1340,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
District of Columbia,2018,4624,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Florida,2018,14423,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Georgia,2018,1799,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Hawaii,2018,2925,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Idaho,2018,332,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Illinois,2018,34893,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Indiana,2018,7701,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Iowa,2018,1605,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Kansas,2018,3686,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Kentucky,2018,7132,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Louisiana,2018,9168,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Maine,2018,1923,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Maryland,2018,9650,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Massachusetts,2018,14654,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Michigan,2018,7925,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Minnesota,2018,6580,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Mississippi,2018,5325,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Missouri,2018,9007,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Montana,2018,945,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Nebraska,2018,2784,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Nevada,2018,1806,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
New Hampshire,2018,1668,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
New Jersey,2018,21593,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
New Mexico,2018,19885,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
New York,2018,119960,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
North Carolina,2018,13304,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
North Dakota,2018,792,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Ohio,2018,21694,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Oklahoma,2018,5147,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Oregon,2018,2817,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Pennsylvania,2018,35714,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Rhode Island,2018,5145,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
South Carolina,2018,7083,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
South Dakota,2018,587,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Tennessee,2018,13494,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Texas,2018,22801,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Utah,2018,951,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Vermont,2018,613,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Virginia,2018,8015,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Washington,2018,8138,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
West Virginia,2018,2654,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Wisconsin,2018,5590,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Wyoming,2018,718,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Capital Fund
Alabama,2016,121380,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Alaska,2016,8679,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Arizona,2016,20602,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Arkansas,2016,32142,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
California,2016,116698,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Colorado,2016,26979,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Connecticut,2016,63716,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Delaware,2016,10996,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
District of Columbia,2016,44664,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Florida,2016,119396,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Georgia,2016,111525,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Hawaii,2016,24041,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Idaho,2016,1261,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Illinois,2016,240899,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Indiana,2016,43698,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Iowa,2016,6192,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Kansas,2016,19478,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Kentucky,2016,54621,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Louisiana,2016,57915,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Maine,2016,13809,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Maryland,2016,91858,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Massachusetts,2016,147191,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Michigan,2016,63053,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Minnesota,2016,45936,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Mississippi,2016,25777,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Missouri,2016,40630,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Montana,2016,5061,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Nebraska,2016,13944,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Nevada,2016,15057,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New Hampshire,2016,11164,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New Jersey,2016,156398,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New Mexico,2016,10538,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New York,2016,864290,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
North Carolina,2016,109548,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
North Dakota,2016,3259,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Ohio,2016,169618,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Oklahoma,2016,34892,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Oregon,2016,18714,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Pennsylvania,2016,283543,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Rhode Island,2016,32658,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
South Carolina,2016,47271,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
South Dakota,2016,2743,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Tennessee,2016,101947,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Texas,2016,150441,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Utah,2016,3579,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Vermont,2016,3472,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Virginia,2016,66208,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Washington,2016,45835,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
West Virginia,2016,16190,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Wisconsin,2016,18525,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Wyoming,2016,1875,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Alabama,2017,143915,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Alaska,2017,10290,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Arizona,2017,24428,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Arkansas,2017,38110,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
California,2017,138364,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Colorado,2017,31987,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Connecticut,2017,75545,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Delaware,2017,13038,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
District of Columbia,2017,52956,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Florida,2017,141563,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Georgia,2017,132230,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Hawaii,2017,28504,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Idaho,2017,1495,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Illinois,2017,285624,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Indiana,2017,51811,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Iowa,2017,7342,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Kansas,2017,23094,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Kentucky,2017,64762,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Louisiana,2017,68667,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Maine,2017,16373,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Maryland,2017,108912,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Massachusetts,2017,174518,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Michigan,2017,74759,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Minnesota,2017,54464,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Mississippi,2017,30564,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Missouri,2017,48174,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Montana,2017,6.00E+03,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Nebraska,2017,16533,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Nevada,2017,17853,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New Hampshire,2017,13233,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New Jersey,2017,185434,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New Mexico,2017,12495,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New York,2017,1097633,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
North Carolina,2017,129887,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
North Dakota,2017,3864,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Ohio,2017,201109,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Oklahoma,2017,41370,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Oregon,2017,22188,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Pennsylvania,2017,336187,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Rhode Island,2017,38721,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
South Carolina,2017,56047,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
South Dakota,2017,3252,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Tennessee,2017,120875,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Texas,2017,178373,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Utah,2017,4243,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Vermont,2017,4116,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Virginia,2017,78500,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Washington,2017,54345,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
West Virginia,2017,19196,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Wisconsin,2017,21964,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Wyoming,2017,2223,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Alabama,2018,101755,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Alaska,2018,8381,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Arizona,2018,19899,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Arkansas,2018,31047,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
California,2018,97232,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Colorado,2018,26059,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Connecticut,2018,61549,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Delaware,2018,10619,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
District of Columbia,2018,43143,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Florida,2018,99839,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Georgia,2018,92234,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Hawaii,2018,23221,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Idaho,2018,1215,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Illinois,2018,217216,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Indiana,2018,42211,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Iowa,2018,5978,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Kansas,2018,18812,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Kentucky,2018,52762,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Louisiana,2018,55945,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Maine,2018,13336,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Maryland,2018,88736,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Massachusetts,2018,126689,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Michigan,2018,60908,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Minnesota,2018,44372,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Mississippi,2018,24898,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Missouri,2018,39247,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Montana,2018,4885,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Nebraska,2018,13468,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Nevada,2018,14543,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New Hampshire,2018,10780,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New Jersey,2018,135585,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New Mexico,2018,10177,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
New York,2018,878011,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
North Carolina,2018,90326,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
North Dakota,2018,3145,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Ohio,2018,148356,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Oklahoma,2018,33705,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Oregon,2018,18076,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Pennsylvania,2018,258415,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Rhode Island,2018,31546,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
South Carolina,2018,45663,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
South Dakota,2018,2647,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Tennessee,2018,98483,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Texas,2018,130832,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Utah,2018,3454,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Vermont,2018,3351,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Virginia,2018,63958,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Washington,2018,44276,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
West Virginia,2018,15638,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Wisconsin,2018,17893,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Wyoming,2018,1809,Department of Housing and Urban Development,Public and Indian Housing Programs,Public Housing Operating Fund
Alabama,2016,194272,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Alaska,2016,41973,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Arizona,2016,172605,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Arkansas,2016,98153,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
California,2016,3545946,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Colorado,2016,258262,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Connecticut,2016,403013,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
Delaware,2016,40629,Department of Housing and Urban Development,Public and Indian Housing Programs,Section 8 Housing Choice Vouchers
